0.png	- Korallenriff wird zerstört (Welt Naturerbe)
118.png	Erstellung einer - zunächst - unstrukturierten Sammlung von Anforderungen an
119.png	- Totalitäre Regime (nach Lauth)
120.png	in die Überschussfinanzierung (Selbstfinanzierung), Rückfluss -
121.png	Text 1:
122.png	Institutionelle Vorkehrungen im modernen Verfassungsstaat gegen der Gefahr
123.png	Massenarbeitslosigkeit und Umweltkatastrophen alle Gruppen der Bevölkerung in
124.png	Sein 1. Postulat bzw. seine ausgehende Definition:
125.png	- Einzeltestfallspezifikation laut Plan
126.png	Das EU-Parlament hat sich der Rolle der nationalen Parlamente
127.png	nutzen (M3). Im Jahr 2013 lebten 62 Mio. Menschen am Ufer des
128.png	Draußen regnet es sehr viel heute.
129.png	- Entmilitarisierung und Rückzug der Alliierten
130.png	Eine mathematische Formel bestätigte die Richtigkeit der Korrelation dieser Postulate.
131.png	- 3. Oktober 1990 tritt die DDR der BRD vollkommen bei
132.png	- Standardmäßig verfügbar:
133.png	- Logik keine Rolle
134.png	Gesellschaftervertrag
135.png	- Wirklichkeit wird konstuiert z.B von sozialen Beziehungen
136.png	- Küken mit größeren Augenflecken wiegen mehr als mit kleineren Flecken
137.png	Jazz improvisiert und befreit die Seele.
138.png	- vom Wohlfahrts- und Sozialversicherungsstaat zum Sozialinvestitionsstaat
139.png	Selbstakzeptanz
140.png	Da die Coulomb-Kraft 1,2 * 10^29 mal größer als die Gravitationskraft
141.png	- Theorien müssen sich immer bewähren
142.png	Der Frosch quakt laut im Teich.
143.png	Formen der Legitimität
144.png	Datenschutz gewährleistet Privatssphäre.
145.png	- Zusammenschluss zum Staatenbund
146.png	Der Krieg spielte sich nicht nur auf dem
147.png	- Mustern
148.png	der musikalische Aspekt klingt im Gedicht
149.png	Zuordnung zu Variabeln
150.png	Bildhauerei formt Materie zu Kunstwerken.
151.png	- Aufgrund der Antworten auf eine Sequenz von Frage wird entschieden
152.png	- weitgehende unabhängige Ressourcenversorgung
153.png	wobei sie als erstes dachten das es Indien wäre
154.png	-> Politik endet nie, immer wandelbar, Menschenabhängig
155.png	-> Jeder Eingang des Neurons besitzt ein Gewicht
156.png	- Internationale Beziehungen: Def.
157.png	im Weg.
158.png	Tansania: - heißes und tropisches Klima (25-35°C)
159.png	Ausgangslage empirischer Sozialforschung
160.png	Digitale Lebensläufe erleichtern die Jobsuche.
161.png	- Menschen, die sanft und umgänglich sind (Z.46-47)
162.png	besitzt einen bestimmten Zustand
163.png	- Randomisierung
164.png	3 Kriterien
165.png	Zu Beginn des Textes wird verdeutlicht, dass
166.png	Service-Modelle
167.png	- Randomisierung
168.png	Dimensionen hat, gebe das kein Valides Ergebnis
169.png	- wird stark kritisiert
170.png	pro Produkt angeben
171.png	- Vollbeschäftigungsgarantie
172.png	- 25% der Einw. unter der Armutsgrenze
173.png	- Planwirtschaft als Gegenstück zum Kapitalismus
174.png	Internet verbindet Menschen weltweit.
175.png	Disparitäten = Ungleichheiten
176.png	gesehen haben.
177.png	Theater bringt Emotionen zum Ausdruck.
178.png	- weltweite ökonomische Verflechtung / - Entstehung von Global Cities
179.png	Entsteht durch die Zerlegung in Kleinteile
180.png	- Willkür und Zufall gleiche Wahrscheinlichkeit
181.png	kriegerischen Konflikt hatten.
182.png	- mehr Dienstleistungsgewerbe
183.png	- Karteikartenabfrage
184.png	Projektmanagement ist eine wichtige Schlüsselkompetenz.
185.png	- Politische Entwicklungen
186.png	ODBC (Open DataBase Connectivity)
187.png	-> Erstellen einer Ereignisliste
188.png	-> Kontrast verstärkung
189.png	- fasst Modellelemente zusammen
190.png	6.) Regelung für Auszubildende
191.png	Street Art belebt städtische Räume.
192.png	Die Krähe krächzt auf dem Baum.
193.png	Datenstrukturen Series, DataFrame und Panel
194.png	- Die Berechnung der Normalgleichung eignet sich nicht für komplexe Problemstellungen
195.png	Selbstsicherheit
196.png	Kunde
197.png	Kinder spielen fröhlich.
198.png	c.) Die Aussage ist falsch, nicht nur die Höhe sondern auch die Geschwindigkeit der
199.png	steigt auch nicht mehr so stark an.
200.png	[UNK]
201.png	Die Sonne scheint.
202.png	Forschungsarbeiten erfordern kritisches Denken.
203.png	1. Festlegung eines Quotenplans
204.png	12.01.2022
205.png	In der zweiten Strophe spricht dann die
206.png	- Fallstudien
207.png	versucht die Daten nach einen systemeigenen Maßstab zu beobachten
208.png	Museen bewahren kulturelle Schätze.
209.png	4. Konstruktivismus
210.png	Der Löwe brüllt laut im Zoo.
211.png	- Ex-Post-Facto
212.png	OHG = offene Handelsgesellschaft
213.png	Die Spinne baut ihr Netz im Garten.
214.png	-> Kriegsvölkerrecht, Schiedsgerichte, Rüstungsbeschränkung
215.png	und Erziehung, politische Meinungs- und Willensbildung
216.png	- Typical Case Design
217.png	- Millionen von Kriegsgefangenen, Häftlingen
218.png	Danach offenbart sich der Graf von F... als
219.png	ihre Körperoberfläche
220.png	Gesamtkapital
221.png	nur den Gott Jahwe verehren.
222.png	- Wiedervereinigung wir klar Abgelehnt
223.png	-> bieten attraktive Beratungs- und Serviceleistungen an
224.png	M: Danke für ihre Antworten. Kommen wir zur nächsten Frage.
225.png	kombiniert wurden. Dann Buchstaben
226.png	3. Standardfall eines Use-Case spezifizieren
227.png	Zweck: Andern der Reihenfolge der Spalten einer Tabelle
228.png	Klassen- und Schichtzugehörigkeit an Bedeutung verloren hat.
229.png	a.) Die Aussage ist richtig, solange der Schwellenwert überschritten wird, damit ein
230.png	- Grundidee: endlose Kette von Versuchen zur Bewältigung von
231.png	Handwerk zeigt die Fertigkeiten des Menschen.
232.png	Die Wolken ziehen schnell vorbei.
233.png	Das Gedicht "Reisen" wurde von Gottfried
234.png	einer erkenntnistheoretischen Grundlagenkrise der modernen Naturwissenschaften
235.png	17-20 Kreuzreim   19-22 umarmender
236.png	Bedingungen vorhanden sind. Zudem ist ein relativ fruchtbarer Boden vorhanden.
237.png	- Beteiligte: Frankreich, Schweden, Spanien,
238.png	UI/UX-Design optimiert Benutzererfahrung.
239.png	Zudem habe ich kein Einkommen, von dem die Schichtzugehörigkeit in Teilen
240.png	Studenten nehmen an Exkursionen teil.
241.png	Kreativitätstechniken
242.png	- Biomembran verformbar
243.png	eigenen Verstandes zu bedienen
244.png	API ermöglicht Integration von Anwendungen.
245.png	Fokus auf Profit und Effizienz, Gewinnorientiert
246.png	- im Rahmen der Organisation
247.png	-> Sie importieren auch viele elektrische Maschinen
248.png	- Gini Impurity berechnet die Homogenität für eine Teilmenge
249.png	Künstliche Intelligenz automatisiert Aufgaben.
250.png	Campus-Leben bietet vielfältige Möglichkeiten.
251.png	Wirtschaftsräumliche Struktur:
252.png	kann man auch jede Sprache der Welt
253.png	Marktplatz gab es die Kirche, das Rathaus und wenige wohlhabende Häuser
254.png	Es kann beliebig viele Objekte einer Klasse geben.
255.png	- permanente Objektverbindungen
256.png	- Filmen, Bücher etc. über die Vergangenheit
257.png	- Einnahmen -> Zahlungsmittelzufluss und / oder Erlangen von Forderungen
258.png	sich selber verunstaltet und sich selber
259.png	Te übernommen und hat eine eigene
260.png	- spezialisierte Klasse = Unterklasse (subclass)
261.png	-> verbesserte Orientierung durch Sprache
262.png	-> weil 95% der Ölproduktion in den Händen ausländischer Konzerne ist
263.png	Konstruktive Schritte
264.png	- Drei Hürden die jede Partei überwinden muss:
265.png	- Wer, warum, wann, in wessen Auftrag, Qualität
266.png	Typ- und Klassen-Selektoren können kombiniert werden
267.png	zu Beginn der portugiesisch-spanischen Expeditionsfahrten,
268.png	- individueller und flexibler
269.png	"Das Herz mir im Leib entbrennte". Diese
270.png	Definition pol. Kommunikation
271.png	Dies wird mit dem gehobenen Stand des
272.png	SQL ist für Datenbankabfragen.
273.png	- Entlastung
274.png	BRD:
275.png	jeder Mensch irgendwann gehen muss.
276.png	strenge und rücksichtslose Beobachtungen und
277.png	Das Nashorn stampft über die Savanne.
278.png	=> zugrundeliegende Motive der imperialistischen Großmächte _
279.png	notwendige Energie für verschiedene Lebensprozesse.
280.png	Sicherheitsgefühl aufgrund einheitlicher Strukturen
281.png	- November meister Niederschlag
282.png	mit seiner Frau und die zunehmende
283.png	Gradienten in den Intrazellularraum.
284.png	Ein Tag in der Kaiserzeit
285.png	Haftung der AG -> Gesamtvermögen der Gesellschaft
286.png	Studentenwohnheime bieten bezahlbaren Wohnraum.
287.png	Romantik. Aber auch die idealisierte Natur
288.png	Das Mädchen spielt im Park.
289.png	81,35 Mio. Menschen vorausgesagt und für das Jahr 2050 wird
290.png	- einer der führenden Wirtschaftsstandorte in Deutschland
291.png	Intra chromosomale Rekombination
292.png	Mein Lieblingsgetränk ist heiße Schokolade.
293.png	Möchte man diese vergessen und sich davon -
294.png	- mehr Windungen, da bei doppelter Windungszahl ist die Induktions-
295.png	- Liberalismus: Entdeckung der Wahrheit und Kontrolle der Regierung
296.png	Calcium in das Cytoplasma. So wird die Calciumionenkonzentration im SR geringer
297.png	1. Konfiguration
298.png	- Es gibt z.b Sprachen ohne Zahlwörter, rechts, links
299.png	AG = Aktiengesellschaft
300.png	-> in ärmeren Ländern (Entwicklungsland): starker Bevölkerungsanstieg
301.png	Früher weigerte sich Samy Deluxe an Gott zu glauben da war ihm
302.png	Dadurch wird die Richtungsbestimmung für den Abstieg (i.d.R.) genauer
303.png	und die objektive Wahrnehmung der Gegenstände.
304.png	welche ( reproduktiver auschluss vom Rest der Art
305.png	2. Wettbewerbsbeeinflussung
306.png	geschwächt und ein Krieg käme zu früh. Zum
307.png	Muss nur im betrachteten Kontext, d.h. innerhalb eines Diagramms, eindeutig sein
308.png	Nachteile Spaltenorganisation
309.png	- höhere Lebenserwartung
310.png	- Wiener Kongress
311.png	- Messe den Unterschied zwischen allen Gruppen, die kein
312.png	Lebenswegen bleiben ungewertet, doch dem
313.png	- Das interne Schema enthält eine Beschreibung der internen Struktur der Daten im Datenbanksystem
314.png	verschuldet ist die Unmündigkeit, wenn
315.png	Sie versucht dies ihrer Mutter zu erklären doch
316.png	1. Sporadische Macht z.B. Banküberfall (zeitlich begrenzt)
317.png	Geburtenhäufigkeit moderat, Lebenserwartung moderat, Wanderungssaldo niedrig
318.png	es wird auf die Vergangenheit Mignons eingegangen.
319.png	ein gewisser Konflikt.
320.png	anschlussfähige Beobachtungsperspektiven einzubringen
321.png	den Figuren identifizieren. Dem Betrachter soll
322.png	die Forschung
323.png	Objekte aus der gleichen Klasse -> reflexive Assoziation (Rollenname nicht optional)
324.png	- in der Praxis ist das Verfahren deutlich effizienter
325.png	minimale Auswirkungen auf das Ergebnis hat.
326.png	- Intensivkulturen mit Paprika, Tomate
327.png	Er isst gerne Pizza mit viel Käse.
328.png	sie zum Leben nötig haben oder glauben was sie brauchen. Aufgrund der
329.png	Sichtbarkeiten
330.png	Studenten diskutieren über akademische Themen.
331.png	dass Gott existiert. Gott ist mehr als die Ansammlung positiver Eigenschaften
332.png	Der Mann hat ein kariertes Hemd an und hat
333.png	Die Hummel summt von Blüte zu Blüte.
334.png	minus systematische Ausfälle.
335.png	- Industrialisierung
336.png	bessere Lösungen als direkte Verfahren liefern
337.png	Die vorliegende Rezension ist nicht wie ein typische Rezension aufgebaut.
338.png	- Grenze sei ab sofort und für alle geöffnet
339.png	Ordnungen und des Anweisungsrechts der durch sie zur Ausübung der
340.png	m RNA expression in Pro karioten Kontinuierlich
341.png	Merkmale -> Hierachiestruktur
342.png	- Definition
343.png	Die Blätter fallen im Herbst von den Bäumen.
344.png	Kaffee duftet verführerisch.
345.png	-> Realisierung üblicherweise durch Drei-Schichten-Architektur
346.png	- Konkret
347.png	-> zweimal sanktionierte nehmen zweieinhalbmal so viele Angebote an (Z.152-153)
348.png	Cloud Computing bietet skalierbare Ressourcen.
349.png	- Errichtung von Grünflächen
350.png	- cascade: kaskadierte Anwendung Standardverhalten
351.png	B = Mengenmäßiger Bedarf
352.png	Digitale Bildung erweitert den Zugang zu Wissen.
353.png	- Einflussnahme auf Parlament und Regierung
354.png	Dahrendorf: Die grundsätzliche Idee von Dahrendorf ist die Einteilung der
355.png	- Abhängig von: - Forschungsfrage    Stichprobe
356.png	der "Allianz für Deutschland" am 18. März
357.png	- Lese und Schreibende
358.png	Zeitplan -> Wann wird getestet?
359.png	Der Himmel ist heute sehr bewölkt.
360.png	Publikum zum Denken anzuregen. Es wird lediglich
361.png	Ein Kaktus ist stachelig.
362.png	- Mischung aus guter Anpassung an die Umwelt und Beliebtheit
363.png	- Minimalität: keine echte Teilmenge der Schlüsselattribute gewährleistet bereits die Eindeutigkeit
364.png	- unidirektionale Assoziationen zu einer "normalen" Klasse besitzen
365.png	Kultur und ihren Entwicklungsstand mit dem
366.png	in diesen Ländern langsamer ablaufen als in anderen Ländern.
367.png	- Extreme Selection Design
368.png	- Entstehung von Funktionen durch Kommunikation mit
369.png	- Mann soll die Zeit genießen, die man noch hat
370.png	Aufgaben rechnen zu den Zahlensystemen ,
371.png	-> Friedenssicherung
372.png	Es können Kernel-Funktionen für die Entscheidungsfunktion angegeben werden
373.png	ihre Intention
374.png	- Konflikt:
375.png	Gesellen sind frei und ziehen durch die Natur
376.png	Einfluss hat.
377.png	von Joseph von Eichendorff verfasst und
378.png	- Eigene Erfahrungen der SHK
379.png	reagiert mit einem definierten Verhalten auf seine Umgebung
380.png	Ein Blick fällt.
381.png	Sachurteil Aufbau:
382.png	Atome können also nur bestimmte Energieträger aufnehmen / emittieren. Quanten mit der Energie:
383.png	Deutsche Bund geschaffen Gr. 1815
384.png	Wie wollte man Konflikte vermeiden?
385.png	Sinnvoll, da Energie freigesetzt wird z.B. in Wärme und diese nach
386.png	-> Schwierigkeit:
387.png	Außenfinanzierung bedeutet, dass das Kapital dem Unternehmen
388.png	Ein Wunsch trägt.
389.png	KI ermöglicht Robotik in der Fertigung.
390.png	Nachteile: - Krise 1856 bis 1859 in Europa diese hatte
391.png	-zentraler Bestandteil der Arbeitsprozesse
392.png	Konstruktoroperation
393.png	Missverhältnis
394.png	Selbstwirksamkeit
395.png	Elektronische Bücher ersetzen gedruckte Bücher.
396.png	- oberste Haushaltsbehörde der EU
397.png	er nur 2 Liter pro Dursttag an Schweißmenge hat und
398.png	1. Testen zeigt Fehlerzustände
399.png	- Großteil von Eisenerz und Kohle wird in Entwicklungsländern abgebaut
400.png	Zusammenfassend lässt sich sagen, dass sich die Klassen und Schichten nicht
401.png	Tutorium PoWi zum 1.2.18
402.png	- dienen zur Initialisierung von Objekten
403.png	Der Igel rollt sich in eine Kugel.
404.png	Demokratie lässt sich als bestimmte Form formeller und
405.png	sind gegenläufig
406.png	- nach Tests der Klassen -> Integration
407.png	- Minimale Anzahl der Datenpunkte in Blättern begrenzen (min_samples leaf)
408.png	- Grammatik ist nur zum Schreiben nötig und liefert keine Informationen
409.png	Geselle beschrieben, was er auf seiner Wanderung
410.png	Variablen zwischen den Gruppen betrachtet werden, die
411.png	Zudem integriert die Familie die Kinder in die Gesellschaft und
412.png	Bildhauerei formt Materie zu Kunstwerken.
413.png	-> Gegen die Herrschaft, Wirtschaft und Unabhängigkeit
414.png	Lineare Regression
415.png	=> neue anschlussfähige Beobachtungsperspektiven einzubringen
416.png	Nr 4.)
417.png	Ein Gedanke fliegt.
418.png	1. Entwickle eine Hypothese, warum Designer-Klamotten bei
419.png	Bsp.: alter table Artikel_0 alter Preis set default 0.0
420.png	Wunde wo Thomas seinen Finger drinnen hat. Hinter Thomas stehen
421.png	- Verbesserung der Ernährung und der Verteilung
422.png	Dies hat in Kombination mit dem hohen Wasserverbrauch der Landwirtschaft
423.png	Betrachtung des zu testenden Elements von außen, technische Details uninteressant
424.png	man sagt, zum anderen ist man dadurch
425.png	- Es müssen nicht alle Gruppierungsspalten anzeigt werden
426.png	Selbstreflexion
427.png	- unwichtige Sekundärhäfen
428.png	ein Grundbaustein der Sprache ist.
429.png	- Demokratieförderung, Menschenrechte, Wirtschafts -
430.png	Das Mädchen spielt im Park.
431.png	Reste der römischen Stadtmauer bis heute erkennbar, Römerturm
432.png	- vertreten gemeinsame politische Ansicht und Interessen
433.png	- Variablen mit extremer Merkmalsausprägung (weit weg vom Mittelwert)
434.png	C4- und CAM-Pflanzen haben tagsüber geschlossene Spaltöffnungen
435.png	- Hauptregenzeit (bis 5 Tage / Monat) im Juli und August
436.png	- wenig Fabrik und Wohlfahrtseinrichtungen
437.png	Verhältnis zueinander stehen
438.png	häufig durch Veränderungen des Parungsvorgangs
439.png	In der Natur einfach mal stehen bleiben,
440.png	- Streiks und Demonstrationen
441.png	- Funktionen von Parteien
442.png	- Offenheit in öffentlichen Angelegenheiten
443.png	like - Operator
444.png	- Kulturen grenzen sich ab und lassen Wahrnehmung ändern
445.png	damit die sechs bis zehn Milliarden Menschen versorgt werden können mit all dem was
446.png	2. Speichern der neuen Werte
447.png	einfach darum ein Bezug von Religion zur Wirtschaft darzustellen. Die ganze Wissenschaft
448.png	Chatbot
449.png	Zusammenfassend lässt sich sagen, dass Michael Opielka das bedingungslose
450.png	der Vakuole freigesetzt => steigt der ph-Wert => 4->6 an
451.png	Ektoparasit: halten sich fast dauerhaft an der Körperoberfläche
452.png	- Das logische Schema beschreibt den logischen Aufbau der Tabellenstrukturen in einer Datenbankanwendung
453.png	# Streudiagramm mit Ausreißern
454.png	2. Autonomie Prinzip - unabhängigkeitsprinzip
455.png	mächtig und ein Eizelner hat kaum bzw
456.png	Kant - Philosoph
457.png	-eine Subklasse muss immer alle Eigenschaften der Subklasse erfüllen
458.png	Interessen.
459.png	weibliche Kadenzen. Insgesamt besteht das Gedicht aus einer Strophe mit 18 Versen
460.png	- ungleiche Verteilung von wertvollen Ressourcen /
461.png	Down-Syndrom entsteht durch eine veränderte Chromosomenzahl
462.png	jeder Einwohner des Landes verfügt
463.png	- Referenz-Dokument
464.png	Natriumionen diffundieren aus der Dünndarmzelle durch die Natrium-Kalium-Pumpe
465.png	- Exkurs: Faktorielles Design / Vignettenexperiment
466.png	Die Beutepopulation steigt nicht mehr so stark an, weil das Insektizid gegen
467.png	Ein weiteres Argument der Befürworter ist zudem, dass Risiken wie z.B.
468.png	des Gesetzgebungsverfahrens.
469.png	Stamesgeschichte des Menschen
470.png	immer wichtiger geworden. Durch Mehrsprachigkeit
471.png	Die ersten zwei Strophen bestehen aus
472.png	und die Schwankungen der Populationen Phasenverzögert sind.
473.png	die Stichprobe zu kommen.
474.png	liberaler Wohlfahrtsstaat:
475.png	Die Mücken summen um meine Ohren.
476.png	Lichtgeschwindigkeit ist unabhängig von Quelle und Beobachter (2. Postulat).
477.png	in der Bevölkerung sehr schnell. Aus
478.png	Datenvalidierung garantiert Datenintegrität.
479.png	Aufgliederung der Relationenschemata durch Normalisierung
480.png	und bringt sie zurück nach Hause. Darauf -
481.png	Lösungen: Busstraßen sind die schnellsten
482.png	Filmdosimeter:
483.png	KI optimiert Energieeffizienz.
484.png	Studenten nehmen an Forschungsprojekten teil.
485.png	um ein bestimmtes Ziel zu erreichen.
486.png	Studenten schätzen ihre Professoren.
487.png	Der Lehrer ist heute 30 Minuten zu spät gekommen.
488.png	Merkmale = Eigenschaften der Objekte
489.png	lässt sich die Marquise von einem Arzt untersuchen.
490.png	genommen werden dürfen
491.png	- Output Funktionen: -  Regelsetzung
492.png	-> Berufsprestige
493.png	- zu testende Systeme, Teilsysteme, Klassen
494.png	- Fokus dabei auf den Adel, Geistliche, Oberschicht
495.png	Die Forelle schwimmt elegant im Bach.
496.png	=> Beide Logiken kommen in der Forschungsrealität nahezu
497.png	Dies steht dafür, dass die SBZ, dem Volk nur
498.png	es liegen markierte (gelabelte) Trainingsdaten vor, die jedem Datenpunkt ein korrektes Ergebnis
499.png	- Deflationspolitik
500.png	Der Sturm bläst die Blätter von den Bäumen.
501.png	2. Rekrutierung einer Online-Stichprobe aus einem großen
502.png	1.) Hemmung der ACH-Esterase. ACH bindet dauerhaft an Na+-Kanäle der
503.png	Metallanode, sodass eines der beiden Elektronen aus der K-Schale
504.png	die Fotosyntheseleistung abnimmt
505.png	- die bewegte Uhr zeigt weniger Zeit an
506.png	Grüne Wiesen erstrecken sich bis zum Horizont.
507.png	SQL ist die Grundlage für Datenbankabfragen.
508.png	1. Akteure ermitteln
509.png	3. Ein Mensch benötigt essen, trinken, liebe und Gesundheit zum Überleben.
510.png	wird durch die Tatsache, dass die Schwiegereltern
511.png	Fragestellung: Welche Norme entwickeln?     Welche Bedingungen bestimmen Beziehungen?
512.png	zu jedem und deswegen sollte man das Spiel
513.png	- Allgemeine Infos zu GDI und Studium
514.png	kapitalistischen und geizigen Shui Ta
515.png	oder wann sich das lyrische Ich befindet. Es scheint als wäre der Lindenbaum für
516.png	Campus-Partys bieten Gelegenheit zum Feiern.
517.png	ist und sich zu kennen. Große Reisen spielen
518.png	Kriegsanleihen, hoher Kreditaufnahme
519.png	Logistische Regression
520.png	- MCAR = zufälliges Fehlen von Daten, unsystematische Fehler
521.png	- Hager, schlohweiße lange Haare, Schnurrbart S.26
522.png	wieder. Der Tod (das scharfe Schwer) holt jeden
523.png	Künstliche Intelligenz lernt von Daten.
524.png	Haben jetzt 8 Stück in unserem Bau
525.png	- Zufällige: - Einfache Zufallsauswahl
526.png	- niedriges BIP
527.png	Organe -> Geschäftsführer (nur bei GmbH)
528.png	- Leiber sind groß, athletisch, wohl proportioniert und rötlicher Färbung (Z.50-51)
529.png	Auswertung nach Kategorie (qualitativ): Kontext
530.png	- Es gibt Reiche und Arme doch sterben muss jeder
531.png	- Berechnung der Mittelwerte der ZSP.
532.png	Graffiti vermittelt soziale Botschaften.
533.png	zerstörtes Ökosystem:
534.png	- Charismatische Herrschaft: beruht auf der außeralltäglichen Hingabe an die
535.png	Eigen - und Fremdkapital
536.png	Attribut -> Eigenschaft
537.png	zu 4b)
538.png	- Politische Entscheidungen und vergangene soziale und wirtschaftliche
539.png	Die Seerose blüht auf dem Teich.
540.png	- Viele wollten bleiben => Familie nach Deutschland holen
